Time,X,Y,Heading,CameraX,CameraY,CameraZ,CameraAngX,CameraAngY,CameraAngZ,GoalX,GoalZ,DistanceToGoal
0, 0, 0, 0, 0, 1.22, 0, 0, 0, 0, 3.21, -3.42, 4.739504
0.02, -0.1845867, -0.1282901, 0, -0.1845867, 1.243333, -0.1282901, 0, 0, 0, -3.64, -3.59, 5.046701
0.04, -0.6763613, -0.5926355, 0, -0.6763613, 1.243333, -0.5926355, 0, 0, 0, -3.64, -3.59, 4.394681
0.06, -0.6763613, -0.5926355, 0, -0.6763613, 1.243333, -0.5926355, 0, 0, 0, -3.64, -3.59, 4.394681
0.08, -0.6763613, -0.5926355, 0, -0.6763613, 1.243333, -0.5926355, 0, 0, 0, -3.64, -3.59, 4.394681
0.09999999, -0.6763613, -0.5926355, 0, -0.6763613, 1.243333, -0.5926355, 0, 0, 0, -3.64, -3.59, 4.394681
0.12, -0.6763613, -0.5926355, 0, -0.6763613, 1.243333, -0.5926355, 0, 0, 0, -3.64, -3.59, 4.394681
0.14, -0.6763613, -0.5926355, 0, -0.6763613, 1.243333, -0.5926355, 0, 0, 0, -3.64, -3.59, 4.394681
0.16, -0.6763613, -0.5926355, 0, -0.6763613, 1.243333, -0.5926355, 0, 0, 0, -3.64, -3.59, 4.394681
0.18, -0.6763613, -0.5926355, 0, -0.6763613, 1.243333, -0.5926355, 0, 0, 0, -3.64, -3.59, 4.394681
0.2, -0.6763613, -0.5926355, 0, -0.6763613, 1.243333, -0.5926355, 0, 0, 0, -3.64, -3.59, 4.394681
0.22, -0.6763613, -0.5926355, 0, -0.6763613, 1.243333, -0.5926355, 0, 0, 0, -3.64, -3.59, 4.394681
0.24, -0.6763613, -0.5926355, 0, -0.6763613, 1.243333, -0.5926355, 0, 0, 0, -3.64, -3.59, 4.394681
0.26, -0.6763613, -0.5926355, 0, -0.6763613, 1.243333, -0.5926355, 0, 0, 0, -3.64, -3.59, 4.394681
0.28, -0.6763613, -0.5926355, 0, -0.6763613, 1.243333, -0.5926355, 0, 0, 0, -3.64, -3.59, 4.394681
0.3, -0.6763613, -0.5926355, 0, -0.6763613, 1.243333, -0.5926355, 0, 0, 0, -3.64, -3.59, 4.394681
0.32, -0.6763613, -0.5926355, 0, -0.6763613, 1.243333, -0.5926355, 0, 0, 0, -3.64, -3.59, 4.394681
0.34, -0.6763613, -0.5926355, 0, -0.6763613, 1.243333, -0.5926355, 0, 0, 0, -3.64, -3.59, 4.394681
0.36, 2.859936, -3.609957, 276.3705, 2.859936, 1.401997, -3.609957, 359.0073, 276.3705, 358.3981, -3.64, -3.59, 6.649448
0.38, 2.859936, -3.609957, 276.3705, 2.859936, 1.401997, -3.609957, 359.0073, 276.3705, 358.3981, -3.64, -3.59, 6.649448
0.4, 2.859936, -3.609957, 276.3705, 2.859936, 1.401997, -3.609957, 359.0073, 276.3705, 358.3981, -3.64, -3.59, 6.649448
0.42, 2.859936, -3.609957, 276.3705, 2.859936, 1.401997, -3.609957, 359.0073, 276.3705, 358.3981, -3.64, -3.59, 6.649448
0.44, 2.859936, -3.609957, 276.3705, 2.859936, 1.401997, -3.609957, 359.0073, 276.3705, 358.3981, -3.64, -3.59, 6.649448
0.46, 2.859936, -3.609957, 276.3705, 2.859936, 1.401997, -3.609957, 359.0073, 276.3705, 358.3981, -3.64, -3.59, 6.649448
0.48, 2.859936, -3.609957, 276.3705, 2.859936, 1.401997, -3.609957, 359.0073, 276.3705, 358.3981, -3.64, -3.59, 6.649448
0.5, 3.084836, -3.221571, 276.3705, 3.084836, 1.401997, -3.221571, 359.0073, 276.3705, 358.3981, -3.64, -3.59, 6.8793
0.52, 3.084836, -3.221571, 276.3705, 3.084836, 1.401997, -3.221571, 359.0073, 276.3705, 358.3981, -3.64, -3.59, 6.8793
0.54, 3.084836, -3.221571, 276.3705, 3.084836, 1.401997, -3.221571, 359.0073, 276.3705, 358.3981, -3.64, -3.59, 6.8793
0.56, 3.084836, -3.221571, 276.3705, 3.084836, 1.401997, -3.221571, 359.0073, 276.3705, 358.3981, -3.64, -3.59, 6.8793
0.58, 3.108433, -3.215333, 284.3096, 3.108433, 1.399165, -3.215333, 359.155, 284.3096, 0.1290286, -3.64, -3.59, 6.902129
0.6, 3.108433, -3.215333, 284.3096, 3.108433, 1.399165, -3.215333, 359.155, 284.3096, 0.1290286, -3.64, -3.59, 6.902129
0.62, 3.112218, -3.224761, 282.4379, 3.112218, 1.402397, -3.224761, 357.3561, 282.4379, 0.8457886, -3.64, -3.59, 6.905981
0.64, 3.112218, -3.224761, 282.4379, 3.112218, 1.402397, -3.224761, 357.3561, 282.4379, 0.8457886, -3.64, -3.59, 6.905981
0.66, 3.112218, -3.224761, 282.4379, 3.112218, 1.402397, -3.224761, 357.3561, 282.4379, 0.8457886, -3.64, -3.59, 6.905981
0.68, 3.112218, -3.224761, 282.4379, 3.112218, 1.402397, -3.224761, 357.3561, 282.4379, 0.8457886, -3.64, -3.59, 6.905981
0.7, 3.111857, -3.23125, 278.5536, 3.111857, 1.403075, -3.23125, 356.6758, 278.5536, 0.4985008, -3.64, -3.59, 6.905425
0.72, 3.111857, -3.23125, 278.5536, 3.111857, 1.403075, -3.23125, 356.6758, 278.5536, 0.4985008, -3.64, -3.59, 6.905425
0.74, 3.111857, -3.23125, 278.5536, 3.111857, 1.403075, -3.23125, 356.6758, 278.5536, 0.4985008, -3.64, -3.59, 6.905425
0.76, 3.111857, -3.23125, 278.5536, 3.111857, 1.403075, -3.23125, 356.6758, 278.5536, 0.4985008, -3.64, -3.59, 6.905425
0.78, 3.111857, -3.23125, 278.5536, 3.111857, 1.403075, -3.23125, 356.6758, 278.5536, 0.4985008, -3.64, -3.59, 6.905425
0.8, 3.111857, -3.23125, 278.5536, 3.111857, 1.403075, -3.23125, 356.6758, 278.5536, 0.4985008, -3.64, -3.59, 6.905425
0.82, 3.111857, -3.23125, 278.5536, 3.111857, 1.403075, -3.23125, 356.6758, 278.5536, 0.4985008, -3.64, -3.59, 6.905425
